Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity;Theme;ID
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Фельзен Ю.;Русская литература;Эмигрантская литература;;;;Счастье;Последние новости;Париж;Газета;№4278;08.12.1932;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Таль А.;Русская литература;Эмигрантская литература;;;;Клетчатое солнце;Последние новости;Париж;Газета;№4278;08.12.1932;3;Подвал;;
А. В.;Антоний Слонимский о советской России;Персональная статья;Слонимский А.;Польская литература;XXв.;;;;;Последние новости;Париж;Газета;№4282;12.12.1932;2;Подвал;;
Н. К—гъ;М. Горький в Петропавловской крепости;Персональная статья;Горький М.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4285;15.12.1932;3;Чердак;;
Георгий Адамович;Заметки о советской литературе;Рецензия на художественную книгу;Сергеев-Ценский С.Н.;Русская литература;Советская литература;;;;Стремительное шоссе;Последние новости;Париж;Газета;№4285;15.12.1932;3;Подвал;;
Георгий Адамович;Заметки о советской литературе;Рецензия на художественную книгу;Герасимова В.А.;Русская литература;Советская литература;;;;Свидетели с нашей стороны;Последние новости;Париж;Газета;№4285;15.12.1932;3;Подвал;;
Словцов Р.;«Искра» и ее подражатели ;Обзорная статья;;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4292;22.12.1932;3;Подвал;;
Милюков П.;Новая историческая повесть;Рецензия на художественную книгу;Булгакова Е.И.;Русская литература;Эмигрантская литература;;;;Царевна Софья;Последние новости;Париж;Газета;№4292;22.12.1932;3;Чердак;;
Н. Ст.;История одной жизни ;Рецензия на художественную книгу;Воложанин О.А.;Русская литература;Эмигрантская литература;;;;История одной жизни;Последние новости;Париж;Газета;№4292;22.12.1932;3;Чердак;;
Б. В.;«Баба-Яга»;Рецензия на художественную книгу;Тэффи Н.А.;Русская литература;Эмигрантская литература;;;;Народная сказка Баба-Яга;Последние новости;Париж;Газета;№4292;22.12.1932;3;Чердак;;
Словцов Р.;Пять лет в Петербурге;Рецензия на публикацию;;Французская литература;XXв.;Французская литература;2/2 XIXв.;Вогюэ М. де;Дневник Мельхиора де Вогюэ ;Последние новости;Париж;Газета;№4297;27.12.1932;3;Подвал;;
Вейдле В.;Густав Мейринк;Некролог;Майринк Г.;Австрийская литература;XXв.;;;;;Последние новости;Париж;Газета;№4297;27.12.1932;5;Подвал;;
Словцов Р.;После 1-го марта ;Рецензия на публикацию;;Французская литература;XXв.;Французская литература;2/2 XIXв.;Вогюэ М. де;Дневник Мельхиора де Вогюэ ;Последние новости;Париж;Газета;№4299;29.12.1932;2;Подвал;;
Вейдле В.;Конрад-Фердинанд Мейер;Персональная статья;Мейер К.-Ф.;Швейцарская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4299;29.12.1932;3;Чердак;;
Георгий Адамович;Гоголь;Персональная статья;Гоголь Н.В.;Русская литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4299;29.12.1932;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Леонов Л.М.;Русская литература;Советская литература;;;;Скутаревский;Последние новости;Париж;Газета;№4306;05.01.1933;2;Подвал;;
Сазонова Ю.;Графиня Сегюр;Персональная статья;Сегюр С.Ф.;Французская литература;;;;;;Последние новости;Париж;Газета;№4309;08.01.1933;4—5;Подвал;Детская литература;
Словцов Р.;«Парижские тайны»;Рецензия на художественную книгу;Сю Э.;Французская литература;;;;;Парижские тайны;Последние новости;Париж;Газета;№4311;10.01.1933;4—5;Подвал;;
Антон Крайний;Живая книга;Рецензия на художественную книгу;Таманин Т. (Манухина Т.И.);Русская литература;Эмигрантская литература;;;;Отечество;Последние новости;Париж;Газета;№4313;12.01.1933;2—3;Подвал;;
Милюков П.;—;Рецензия на художественную книгу;Таманин Т. (Манухина Т.И.);Русская литература;Эмигрантская литература;;;;Отечество;Последние новости;Париж;Газета;№4313;12.01.1933;3;Подвал;;
Г.А.;Сов.литература в 1933 году;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4313;12.01.1933;3;Чердак;Советская литература;
А. Д.;Беседы с Гауптманом;Рецензия на художественную книгу;Шапиро Ж.;Немецкая литература;XXв.;Немецкая литература;XXв.;Гауптман Г.;Gespräche mit G. Hauptmann;Последние новости;Париж;Газета;№4313;12.01.1933;3;Чердак;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Алферов А.;Русская литература;Эмигрантская литература;;;;Дурачье;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Бакунина Е.В.;Русская литература;Эмигрантская литература;;;;Тело;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Штейгер А.С.;Русская литература;Эмигрантская литература;;;;Кирпичики;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Фельзен Ю.;Русская литература;Эмигрантская литература;;;;Письма о Лермонтове;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Гиппиус З.Н.;Русская литература;Эмигрантская литература;;;;Перламутровая трость;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Оцуп Н.А.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на художественную книгу;Иванов Г.В.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на статью;Терапиано Ю.К.;Русская литература;Эмигрантская литература;;;;О человеке тридцатых годов;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Георгий Адамович;«Числа»;Рецензия на статью;Формаков А.И.;Русская литература;Эмигрантская литература;;;;О двух могилах;Последние новости;Париж;Газета;№4320;19.01.1933;2;Подвал;;
Дионео;С.Я.Елпатьевский;Некролог;Елпатьевский С.Я.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№4320;19.01.1933;3;Чердак;;
С.;15-летие «Петрополиса»;Юбилейная статья;;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4320;19.01.1933;3;Чердак;;
Словцов Р.;Промахи писателей;Обзорная статья;;Русская литература;Общее;;;;;Последние новости;Париж;Газета;№4320;19.01.1933;3;Подвал;;
Мих. Осоргин;Грибоедов по-итальянски;Рецензия на перевод;Вердинуа Ф.;Итальянская литература;XXв.;Русская литература;1/2 XIXв.;Грибоедов А.С.;;Последние новости;Париж;Газета;№4320;19.01.1933;4;Подвал;;
Сазонова Ю.;Суета сует;Рецензия на художественную книгу;Моруа А.;Французская литература;XXв.;;;;Mes songes que voici ;Последние новости;Париж;Газета;№4324;23.01.1933;2;Подвал;;
Словцов Р.;Чехов—журналист;Персональная статья;Чехов А.П.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№4327;26.01.1933;3;Подвал;;
Вейдле В.;Джордж Мур;Некролог;Мур Д.;Английская литература;XXв.;;;;;Последние новости;Париж;Газета;№4328;27.01.1933;3;Чердак;;
Георгий Адамович;В подполье;Рецензия на художественную книгу;Иринин М.С.;Русская литература;Советская литература;;;;Бунт на коленях;Последние новости;Париж;Газета;№4334;02.02.1933;3;Подвал;;
М. Алданов;Джон Голсуорси;Некролог;Голсуорси Д.;Английская литература;XXв.;;;;;Последние новости;Париж;Газета;№4334;02.02.1933;3;Чердак;;
Н. К—гъ;Японский роман;Рецензия на художественную книгу;Кикучи К.;Японская литература;XXв.;;;;Дама с жемчужиной;Последние новости;Париж;Газета;№4334;02.02.1933;3;Чердак;;
А. Д.;Свидетель;Рецензия на художественную книгу;Фейхтвангер Л.;Немецкая литература;XXв.;;;;Der jüdische Krieg;Последние новости;Париж;Газета;№4334;02.02.1933;3;Чердак;;
Сазонова Ю.;Судьба литературных тем;Обзорная статья;;Русская литература;Общее;;;Гоголь Н.В.;;Последние новости;Париж;Газета;№4336;04.02.1933;4;Подвал;;
Георгий Адамович;Стихи Пастернака;Рецензия на художественную книгу;Пастернак Б.Л.;Русская литература;Советская литература;;;;Второе рождение;Последние новости;Париж;Газета;№4341;09.02.1933;3;Подвал;;
Мих. Ос.;Судьба Н.С.Лескова;Рецензия на публикацию;;Русская литература;Советская литература;;2/2 XIXв.;Лесков Н.С.;Академия Очарованный странник;Последние новости;Париж;Газета;№4341;09.02.1933;3;Чердак;;
Словцов Р.;От Гете до Кропоткина;Рецензия на издание;;Русская литература;Советская литература;;;;Звенья. Сборники материалов и документов по истории литературы, искусства и общественной мысли XIX века;Последние новости;Париж;Газета;№4341;09.02.1933;4;Подвал;;
В. Жаботинский;Х.Н. Бялик;Юбилейная статья;Бялик Х.Н.;Еврейская литература;XXв.;;;;;Последние новости;Париж;Газета;№4342;10.02.1933;3;Подвал;;
Ю. С.;Материнство;Рецензия на художественную книгу;Ратель С.;Французская литература;XXв.;;;;La Maison des Bories;Последние новости;Париж;Газета;№4348;16.02.1933;3;Чердак;;
Георгий Адамович;Игрок;Рецензия на художественную книгу;Гроссман Л.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Достоевский Ф.М.;Достоевский за рулеткой;Последние новости;Париж;Газета;№4350;18.02.1933;3;Подвал;;
Георгий Адамович;Игрок;Рецензия на издание;;Немецкая литература;XXв.;Русская литература;2/2 XIXв.;Достоевский Ф.М.;Достоевский за рулеткой;Последние новости;Париж;Газета;№4350;18.02.1933;3;Подвал;;
Сазонова Ю.;Кукольный Фауст;Обзорная статья;;Немецкая литература;Общее;;;;;Последние новости;Париж;Газета;№4350;18.02.1933;4;Подвал;;
В. Жаботинский;О романе Фейхтвангера;Рецензия на художественную книгу;Фейхтвангер Л.;Немецкая литература;XXв.;;;;Иудейская война;Последние новости;Париж;Газета;№4355;23.02.1933;2;Подвал;;
Мих. Ос.;Портреты советских писателей;Рецензия на художественную книгу;Слоним М.Л.;Русская литература;Эмигрантская литература;;;;Портреты советских писателей;Последние новости;Париж;Газета;№4355;23.02.1933;3;Чердак;;
Георгий Адамович;Заметки о советской литературе;Рецензия на художественную книгу;Павленко П.А.;Русская литература;Советская литература;;;;Баррикады;Последние новости;Париж;Газета;№4355;23.02.1933;3;Подвал;;
Георгий Адамович;Заметки о советской литературе;Рецензия на художественную книгу;Толстой А.Н.;Русская литература;Советская литература;;;;Петр 1;Последние новости;Париж;Газета;№4355;23.02.1933;3;Подвал;;
Георгий Адамович;Заметки о советской литературе;Рецензия на художественную книгу;Лебеденко А.Г.;Русская литература;Советская литература;;;;Тяжелый дивизион;Последние новости;Париж;Газета;№4355;23.02.1933;3;Подвал;;
Георгий Адамович;Заметки о советской литературе;Рецензия на художественную книгу;Кольцов М.Е.;Русская литература;Советская литература;;;;Свои и чужие;Последние новости;Париж;Газета;№4355;23.02.1933;3;Подвал;;
Словцов Р.;Толстой в Севастополе;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Толстой Л.Н.;Полное собрание сочинений;Последние новости;Париж;Газета;№4355;23.02.1933;4;Подвал;;
А.;Поэма Руставели в переводе Бальмонта;Рецензия на перевод;Бальмонт К.Д.;Русская литература;Эмигрантская литература;Грузинская литература;XIIв.;Руставели;Носящий барсову шкуру;Последние новости;Париж;Газета;№4262;02.03.1933;3;Чердак;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Зайцев Б.К.;Русская литература;Эмигрантская литература;;;;Дом в Пасси;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Алданов М.А.;Русская литература;Эмигрантская литература;;;;Пещера;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Сирин В. (Набоков В.В.);Русская литература;Эмигрантская литература;;;;Camera obscura;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Зуров Л.Ф.;Русская литература;Эмигрантская литература;;;;Древний путь;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Бальмонт К.Д.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Ладинский А.П.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Смоленский В.А.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Пиотровский В.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Ремизов А.М.;Русская литература;Эмигрантская литература;;;;Чинг-Чанг;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на статью;Бицилли П.М.;Русская литература;Эмигрантская литература;;;;Жизнь и литература;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Толстая А.Л.;Русская литература;Эмигрантская литература;;;;Воспоминания;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 51-я;Рецензия на художественную книгу;Цветаева М.И.;Русская литература;Эмигрантская литература;;;;Дом;Последние новости;Париж;Газета;№4262;02.03.1933;3;Подвал;;
Словцов Р.;Новое о Толстом;Рецензия на публикацию;Толстой Л.Н.;Русская литература;2/2 XIXв.;;;;Полное собрание сочинений;Последние новости;Париж;Газета;№4262;02.03.1933;4;Подвал;;
Сазонова Ю.;Безжизненная жизнь;Рецензия на художественную книгу;Жироду Ж.;Французская литература;XXв.;;;;Сентиментальная Франция;Последние новости;Париж;Газета;№4264;04.03.1933;4;Подвал;;
Словцов Р.;Огаревское наследство;Рецензия на исследование;Черняк Я.З.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Некрасов Н.А., Огарев Н.П., Панаева А.Я.;Огарев, Некрасов, Герцен, Чернышевский в споре об огаревском наследстве;Последние новости;Париж;Газета;№4367;07.03.1933;4;Подвал;;
Ивелич;«За рубежом»;Рецензия на издание;;Русская литература;Советская литература;;;;За рубежом;Последние новости;Париж;Газета;№4369;09.03.1933;3;Чердак;;
Сазонова Ю.;«Смерть и жизнь»;Рецензия на художественную книгу;Монтерлан А. де;Французская литература;XXв.;;;;Mors et Vita;Последние новости;Париж;Газета;№4369;09.03.1933;3;Чердак;;
Георгий Адамович;Человеческий документ;Рецензия на художественную книгу;Бакунина Е.В.;Русская литература;Эмигрантская литература;;;;Тело;Последние новости;Париж;Газета;№4369;09.03.1933;3;Подвал;;
Словцов Р.;Козьма Прутков по-марксистски;Рецензия на исследование;Берков П.Н.;Русская литература;2/2 XIXв.;Русская литература;2/2 XIXв.;Козьма Прутков;Козьма Прутков, директор пробирной палатки и поэт;Последние новости;Париж;Газета;№4369;09.03.1933;4;Подвал;;
Георгий Адамович;Дневник Мариэтты Шагинян;Рецензия на художественную книгу;Шагинян М.;Русская литература;Советская литература;;;;Дневник;Последние новости;Париж;Газета;№4376;16.03.1933;3;Подвал;;
Н. В.;В.Л. Биншток;Некролог;Биншток В.Л.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4376;16.03.1933;3;Чердак;;
Словцов Р.;«В мире отверженных»;Рецензия на публикацию;;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Мельшин Л. (П. Якубович);В мире отверженных;Последние новости;Париж;Газета;№4376;16.03.1933;4;Подвал;;
Георгий Адамович;Лесков и Толстой;Рецензия на художественную книгу;Микулич В. (Л.И. Веселитская);Русская литература;Советская литература;;;Толстой Л.Н., Лесков Н.С.;Встречи;Последние новости;Париж;Газета;№4383;23.03.1933;3;Подвал;;
Сазонова Ю.;Родовой культ;Рецензия на художественную книгу;Мориак Ф.;Французская литература;XXв.;;;;Le Mystery Frontenac;Последние новости;Париж;Газета;№4383;23.03.1933;3;Чердак;;
—вичъ;Новое путешествие Дон-Кихота;Рецензия на художественную книгу;Сервантес М. де;Испанская литература;Общее;;;;;Последние новости;Париж;Газета;№4383;23.03.1933;3;Чердак;;
Сазонова Ю.;Злобное наваждение;Рецензия на художественную книгу;Демезон А.;Французская литература;XXв.;;;;Tropique;Последние новости;Париж;Газета;№4385;25.03.1933;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Седых А.;Русская литература;Эмигрантская литература;;;;Люди за бортом;Последние новости;Париж;Газета;№4390;30.03.1933;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Березовский С.;Русская литература;Эмигрантская литература;;;;Красная шкатулка;Последние новости;Париж;Газета;№4390;30.03.1933;3;Подвал;;
Сазонова Ю.;Спящая красавица;Рецензия на художественную книгу;Сюпервьель Ж.;Французская литература;XXв.;;;;La Belle au bois;Последние новости;Париж;Газета;№4390;30.03.1933;3;Чердак;;
А.Н.Т.;«Журнал Содружества»;Рецензия на издание;;Русская литература;Советская литература;;;;Журнал Содружества;Последние новости;Париж;Газета;№4390;30.03.1933;3;Чердак;;
Мих. Ос.;Русская литература под тропиками;Рецензия на перевод;Зельцов Ю.Л.;Бразильская литература;XXв.;Русская литература;Общее;;Bibliotheca de auctores russos;Последние новости;Париж;Газета;№4390;30.03.1933;3;Чердак;;
П.;Диспут об Андрэ Жиде;Персональная статья;Жид А.;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№4390;30.03.1933;3;Чердак;;
А. Даманская;Яков Вассерман;Юбилейная статья;Вассерман Я.;Немецкая литература;XXв.;;;;;Последние новости;Париж;Газета;№4397;06.04.1933;3;Чердак;;
Мих. Ос.;«L’ échéance»;Рецензия на художественную книгу;Эргац И.М.;;;;;;L’ échéance;Последние новости;Париж;Газета;№4397;06.04.1933;3;Чердак;;
А.Н.Т.;«Взлеты»;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Взлеты;Последние новости;Париж;Газета;№4397;06.04.1933;3;Чердак;;
Вейдле В.;Старость Шекспира;Персональная статья;Шекспир У.;Английская литература;;;;;;Последние новости;Париж;Газета;№4400;09.04.1933;5;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Зозуля Е.Д.;Русская литература;Советская литература;;;;Собственность;Последние новости;Париж;Газета;№4404;13.04.1933;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Яковлев А.С.;Русская литература;Советская литература;;;;октябрь;Последние новости;Париж;Газета;№4404;13.04.1933;2;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Зелинский К.Л.;Русская литература;Советская литература;;;;Семейная хроника Ларцевых;Последние новости;Париж;Газета;№4404;13.04.1933;2;Подвал;;
Вейдле В.;«Медный всадник» на польском языке;Рецензия на перевод;Тувим Ю.;Польская литература;XXв.;Русская литература;1/2 XIXв.;Пушкин А.С.;;Последние новости;Париж;Газета;№4404;13.04.1933;3;Чердак;;
Сазонова Ю.;Трое в одном автомобиле;Рецензия на художественную книгу;Серстевенс А.Т.;Французская литература;XXв.;;;;L’itinéraire espagnol;Последние новости;Париж;Газета;№4404;13.04.1933;3;Чердак;;
Георгий Адамович;«Маски» Андрея Белого;Рецензия на художественную книгу;Белый А.;Русская литература;Советская литература;;;;Маски;Последние новости;Париж;Газета;№4411;20.04.1933;2;Подвал;;
—ъ;Маркс—поэт;Персональная статья;Маркс К.;Немецкая литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№4411;20.04.1933;3;Чердак;;
Словцов Р.;Рокамболь русской революции;Рецензия на художественную книгу;Юрковский Ф.Н.;Русская литература;Советская литература;;;;Булгаков;Последние новости;Париж;Газета;№4411;20.04.1933;3;Подвал;;
Сазонова Ю.;Любовь Бенджамена Констана;Рецензия на публикацию;Констан Б.;Французская литература;1/2 XIXв.;;;Линдсей А.;Сorrespondance de Benjamin Constant et d’Anna Lindsay;Последние новости;Париж;Газета;№4413;22.04.1933;4;Подвал;;
Вейдле В.;Петербургские пророчества;Обзорная статья;;Русская литература;Общее;;;;;Последние новости;Париж;Газета;№4416;25.04.1933;3;Подвал;;
Георгий Адамович;Путешествие в глубь ночи;Рецензия на художественную книгу;Селин Л.-Ф.;Французская литература;XXв.;;;;Путешествие в глубь ночи;Последние новости;Париж;Газета;№4418;27.04.1933;3;Подвал;;
Сазонова Ю.;Старая Франция;Рецензия на художественную книгу;Гар Р. М. дю;Французская литература;XXв.;;;;Vielle France;Последние новости;Париж;Газета;№4418;27.04.1933;3;Чердак;;
Н. Энка;Прекрасная Эсмеральда;Рецензия на художественную книгу;Федоров В.Г.;Русская литература;Эмигрантская литература;;;;Прекрасная Эсмеральда;Последние новости;Париж;Газета;№4418;27.04.1933;3;Чердак;;
А. Ртищев;Маркиз де Сад;Персональная статья;Сад М. де;Французская литература;XVIIIв.;;;;;Последние новости;Париж;Газета;№4420;29.04.1933;4;Подвал;;
Вейдле В.;Островитяне;Обзорная статья;;Английская литература;Общее;;;;;Последние новости;Париж;Газета;№4421;30.04.1933;5;Подвал;;
Бальмонт К.;Стих и песня;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№4425;04.05.1933;3;Чердак;;
С.;Гете и Россия;Рецензия на публикацию;;Русская литература;Советская литература;Немецкая литература;1/2 XIXв.;Гете И.;Литературное наследство;Последние новости;Париж;Газета;№4425;04.05.1933;3;Чердак;;
Вейдле В.;Графиня де Ноай;Некролог;Ноай А. де;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№4425;04.05.1933;3;Чердак;;
Сазонова Ю.;Читатель;Обзорная статья;;Русская литература;Общее;;;;;Последние новости;Париж;Газета;№4427;06.05.1933;4;Подвал;;
Словцов Р.;Гете и русский двор;Рецензия на исследование;Дурылин С.;Русская литература;Советская литература;Немецкая литература;1/2 XIXв.;Гете И.;Русские писатели у Гете в Веймаре;Последние новости;Париж;Газета;№4430;09.05.1933;5;Подвал;;
Георгий Адамович;Три пьесы;Рецензия на художественную книгу;Вишневский Вс.В.;Русская литература;Советская литература;;;;Оптимистическая трагедия;Последние новости;Париж;Газета;№4432;11.05.1933;2;Подвал;;
Георгий Адамович;Три пьесы;Рецензия на художественную книгу;Толстой А.Н.;Русская литература;Советская литература;;;;Патент №119;Последние новости;Париж;Газета;№4432;11.05.1933;2;Подвал;;
Георгий Адамович;Три пьесы;Рецензия на художественную книгу;Старчаков А.О.;Русская литература;Советская литература;;;;Патент №120;Последние новости;Париж;Газета;№4432;11.05.1933;2;Подвал;;
Георгий Адамович;Три пьесы;Рецензия на художественную книгу;Чумадрин М.;Русская литература;Советская литература;;;;Естественная история;Последние новости;Париж;Газета;№4432;11.05.1933;2;Подвал;;
Словцов Р.;Русские знакомства Гете;Персональная статья;Дурылин С.;Русская литература;Советская литература;Немецкая литература;1/2 XIXв.;Гете И.;Русские писатели у Гете в Веймаре;Последние новости;Париж;Газета;№4432;11.05.1933;3;Подвал;;
Н. К—гъ;«Тихий Дон»;Рецензия на художественную книгу;Шолохов М.М.;Русская литература;Советская литература;;;;Тихий Дон;Последние новости;Париж;Газета;№4432;11.05.1933;3;Чердак;;
Мих. Ос.;За миллионами;Рецензия на художественную книгу;Крымов В.;Русская литература;Эмигрантская литература;;;;За миллионами;Последние новости;Париж;Газета;№4432;11.05.1933;3;Чердак;;
Сазонова Ю.;Его величайшая любовь;Рецензия на художественную книгу;Рафалович С.Л.;Русская литература;Эмигрантская литература;;;;Son plus grand amour;Последние новости;Париж;Газета;№4432;11.05.1933;3;Чердак;;
Вейдле В.;Толстоевский;Обзорная статья;;Немецкая литература;Общее;Русская литература;2/2 XIXв.;Достоевский Ф.М., Толстой Л.Н.;;Последние новости;Париж;Газета;№4435;14.05.1933;6;Подвал;;
Арсений Мерич;Английские писательницы;Обзорная статья;;Английская литература;Общее;;;;;Последние новости;Париж;Газета;№4436;15.05.1933;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Кузнецова Г.Н.;Русская литература;Эмигрантская литература;;;;Пролог;Последние новости;Париж;Газета;№4439;18.05.1933;3;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Кунина И.Е.;Русская литература;Эмигрантская литература;;;;Только факты, сер;Последние новости;Париж;Газета;№4439;18.05.1933;3;Подвал;;
И. Демидов;«Под новыми звездами»;Рецензия на художественную книгу;Корсак В.;Русская литература;Эмигрантская литература;;;;Под новыми звездами;Последние новости;Париж;Газета;№4439;18.05.1933;3;Чердак;;
Сазонова Ю.;Новый роман Андре Шансона;Рецензия на художественную книгу;Шамсон А.;Французская литература;XXв.;;;;L’auberge de l’abime;Последние новости;Париж;Газета;№4439;18.05.1933;3;Чердак;;
Георгий Адамович;Стихи;Рецензия на издание;;Русская литература;Эмигрантская литература;;;Пиотровский, Блох Р., Раевский Р., Белоцветов;«Невод». Сб. берлинских поэтов ;Последние новости;Париж;Газета;№4446;25.05.1933;2;Подвал;;
Георгий Адамович;Стихи;Рецензия на издание;;Русская литература;Эмигрантская литература;;;Лебедев В., Головина А., Мансветов В., Морковин В.;«Скит». Сб. пражских поэтов;Последние новости;Париж;Газета;№4446;25.05.1933;2;Подвал;;
Георгий Адамович;Стихи;Рецензия на художественную книгу;Ставров П.С.;Русская литература;Эмигрантская литература;;;;Без последствий;Последние новости;Париж;Газета;№4446;25.05.1933;2;Подвал;;
М—ъ;Дневники Арнольда Беннетта;Рецензия на публикацию;;Английская литература;XXв.;Английская литература;XXв.;Беннетт А.;The Journals if Arnold Bennett;Последние новости;Париж;Газета;№4446;25.05.1933;3;Чердак;;
Сазонова Ю.;Новый роман Лакретелля;Рецензия на художественную книгу;Лакреттель Ж. де;Французская литература;XXв.;;;;Les Hauts Ponts, Les Fiançailles;Последние новости;Париж;Газета;№4446;25.05.1933;3;Чердак;;
Мих. Осоргин;Памяти Ив. Болдырева;Некролог;Болдырев И.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№4446;25.05.1933;4;Подвал;;
Георгий Адамович;«Современные записки», кн. 52;Рецензия на художественную книгу;Толстая А.Л.;Русская литература;Эмигрантская литература;;;;Воспоминания;Последние новости;Париж;Газета;№4453;01.06.1933;3;Подвал;;
Георгий Адамович;«Современные записки», кн. 52;Рецензия на художественную книгу;Бунин И.А.;Русская литература;Эмигрантская литература;;;;Жизнь Арсеньева;Последние новости;Париж;Газета;№4453;01.06.1933;3;Подвал;;
